timestamp,state,x,z,roll_deg,pitch_deg,yaw_deg,left,center,right,top,bottom,cmd_vx,cmd_vz,cmd_roll,cmd_yaw
2026-05-12 19:17:10.609926,SEARCHING,0.000,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-12 19:17:10.813977,SEARCHING,0.105,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-12 19:17:11.015760,SEARCHING,0.245,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-12 19:17:11.251749,SEARCHING,0.385,1.000,0.00,0.00,0.00,2.222,4.086,5.720,4.086,3.814,0.700,0.010,-0.124,-0.248
2026-05-12 19:17:11.469220,SEARCHING,0.525,1.000,0.00,0.00,-2.13,2.200,4.086,5.448,4.086,3.814,0.700,0.010,-0.122,-0.244
2026-05-12 19:17:11.680316,SEARCHING,0.665,1.000,0.00,0.00,-4.88,2.384,4.868,4.767,4.767,3.575,0.700,0.042,-0.094,-0.189
2026-05-12 19:17:11.890732,SEARCHING,0.804,1.000,0.00,0.00,-7.11,2.434,5.581,4.400,4.868,4.670,0.700,0.005,-0.083,-0.165
2026-05-12 19:17:12.109242,SEARCHING,0.943,1.000,0.00,0.00,-8.99,2.600,7.381,4.086,4.868,5.321,0.700,-0.010,-0.063,-0.126
2026-05-12 19:17:12.322994,SEARCHING,1.081,1.000,0.00,0.00,-10.43,2.724,8.801,3.878,4.868,6.184,0.700,-0.026,-0.049,-0.098
2026-05-12 19:17:12.557068,SEARCHING,1.218,1.000,0.00,0.00,-11.56,2.790,8.172,3.751,4.868,6.184,0.700,-0.026,-0.041,-0.083
2026-05-12 19:17:12.780228,SEARCHING,1.355,1.000,0.00,0.00,-12.51,2.860,7.627,3.632,4.868,6.022,0.700,-0.024,-0.033,-0.067
2026-05-12 19:17:12.991005,SEARCHING,1.491,1.000,0.00,0.00,-13.25,2.934,7.151,3.575,4.868,5.720,0.700,-0.018,-0.028,-0.055
2026-05-12 19:17:13.216000,SEARCHING,1.628,1.000,0.00,0.00,-13.88,2.934,7.151,3.575,4.868,5.720,0.700,-0.018,-0.028,-0.055
2026-05-12 19:17:13.431696,SEARCHING,1.763,1.000,0.00,0.00,-14.51,2.934,7.151,3.575,4.868,5.720,0.700,-0.018,-0.028,-0.055
2026-05-12 19:17:13.642176,SEARCHING,1.899,1.000,0.00,0.00,-15.14,3.134,6.356,3.316,4.868,4.868,0.700,0.000,-0.008,-0.016
2026-05-12 19:17:13.872562,SEARCHING,2.034,1.000,0.00,0.00,-15.40,3.365,6.184,3.178,4.868,4.576,0.700,0.008,0.008,0.016
2026-05-12 19:17:14.079559,SEARCHING,2.169,1.000,0.00,0.00,-15.27,3.415,6.022,3.178,4.974,3.365,0.700,0.058,0.010,0.020
2026-05-12 19:17:14.293581,SEARCHING,2.304,1.000,0.00,0.00,-15.04,3.415,6.022,3.178,4.974,3.365,0.700,0.058,0.010,0.020
2026-05-12 19:17:14.511045,SEARCHING,2.439,1.000,0.00,0.00,-14.81,3.415,6.022,3.134,4.868,4.400,0.700,0.013,0.012,0.024
2026-05-12 19:17:14.721152,SEARCHING,2.575,1.000,0.00,0.00,-14.52,3.415,6.022,3.092,4.868,4.767,0.700,0.003,0.014,0.028
2026-05-12 19:17:14.946828,SEARCHING,2.710,1.000,0.00,0.00,-14.21,3.415,6.184,3.092,4.868,4.487,0.700,0.010,0.014,0.028
2026-05-12 19:17:15.127569,SEARCHING,2.846,1.000,0.00,0.00,-13.89,3.415,6.022,3.092,4.868,4.400,0.700,0.013,0.014,0.028
2026-05-12 19:17:15.339784,SEARCHING,2.982,1.000,0.00,0.00,-13.61,3.365,6.022,3.178,4.868,4.670,0.700,0.005,0.008,0.016
