timestamp,state,x,y,z,roll_deg,pitch_deg,yaw_deg,dist_left,dist_center,dist_right,dist_top,dist_bottom,dtof_alert,collision_event,best_dir,max_space,cmd_vx,cmd_vz,cmd_yaw
22:03:42.278,SEARCHING,0.000,0.000,0.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0,0,SEARCHING,0.000,0.800,0.000,0.000
22:03:43.656,SEARCHING,0.064,0.000,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0,0,SEARCHING,0.000,0.800,0.000,0.000
22:03:43.858,SEARCHING,0.192,-0.000,1.009,0.00,0.00,-0.19,1.310,5.045,2.195,5.131,2.702,0,0,SEARCHING,0.000,0.800,0.210,-0.246
22:03:44.059,SEARCHING,0.320,-0.003,1.054,0.00,0.00,-3.02,0.945,4.593,1.845,4.559,2.545,0,0,SEARCHING,0.000,0.800,0.208,-0.413
22:03:44.259,SEARCHING,0.448,-0.012,1.092,0.00,0.00,-3.67,7.355,4.146,1.713,4.142,2.675,0,0,SEARCHING,0.000,0.800,0.159,0.358
22:03:44.459,SEARCHING,0.576,-0.017,1.124,0.00,0.00,-0.34,8.583,4.462,1.745,4.498,2.747,0,0,SEARCHING,0.000,0.800,0.170,0.365
22:03:44.660,SEARCHING,0.703,-0.015,1.158,0.00,0.00,2.96,5.723,4.899,1.810,4.998,2.787,0,0,SEARCHING,0.000,0.800,0.190,0.302
22:03:44.865,SEARCHING,0.831,-0.005,1.196,0.00,0.00,5.67,4.285,5.612,2.299,5.380,2.932,0,0,SEARCHING,0.000,0.800,0.186,0.161
22:03:45.067,SEARCHING,0.958,0.009,1.232,0.00,0.00,6.72,3.396,5.998,2.952,5.322,3.039,0,0,SEARCHING,0.000,0.800,0.169,0.035
22:03:45.268,SEARCHING,1.085,0.024,1.265,0.00,0.00,7.08,4.021,6.011,2.968,5.219,3.122,0,0,SEARCHING,0.000,0.800,0.154,0.071
22:03:45.469,SEARCHING,1.212,0.040,1.295,0.00,0.00,7.75,4.122,5.874,2.964,5.143,3.176,0,0,SEARCHING,0.000,0.800,0.144,0.076
