timestamp,state,x,y,z,roll_deg,pitch_deg,yaw_deg,dist_left,dist_center,dist_right,dist_top,dist_bottom,dtof_alert,collision_event,best_dir,max_space,cmd_vx,cmd_vz,cmd_yaw
22:34:17.528,SEARCHING,0.000,0.000,0.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0,0,SEARCHING,0.000,0.526,0.000,0.000
22:34:18.897,SEARCHING,0.042,0.000,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0,0,SEARCHING,0.000,0.734,0.000,0.000
22:34:19.099,SEARCHING,0.193,0.000,1.000,0.00,0.00,0.07,7.787,5.226,2.548,5.232,3.728,0,0,SEARCHING,0.000,0.784,0.028,0.078
22:34:19.299,SEARCHING,0.288,0.001,1.012,0.00,0.00,1.41,7.196,4.354,1.138,4.323,2.615,0,0,SEARCHING,0.000,0.796,0.125,0.368
22:34:19.500,SEARCHING,0.383,0.005,1.042,0.00,0.00,4.82,6.267,4.428,1.018,4.407,2.523,0,0,SEARCHING,0.000,0.799,0.180,0.587
22:34:19.701,SEARCHING,0.479,0.016,1.080,0.00,0.00,9.01,3.268,4.776,2.294,4.737,2.599,0,0,SEARCHING,0.000,0.800,0.200,0.458
22:34:19.901,SEARCHING,0.573,0.033,1.120,0.00,0.00,10.74,2.140,5.532,3.015,5.142,2.659,0,0,SEARCHING,0.000,0.800,0.210,0.073
22:34:20.101,SEARCHING,0.667,0.051,1.162,0.00,0.00,10.59,1.964,5.907,3.130,5.150,2.815,0,0,SEARCHING,0.000,0.800,0.204,-0.088
22:34:20.303,SEARCHING,0.762,0.068,1.202,0.00,0.00,9.77,3.067,5.574,3.067,5.012,2.955,0,0,SEARCHING,0.000,0.800,0.183,-0.092
22:34:20.503,SEARCHING,0.857,0.084,1.237,0.00,0.00,9.54,4.233,5.215,2.999,4.931,3.050,0,0,SEARCHING,0.000,0.800,0.163,0.023
22:34:20.704,SEARCHING,0.951,0.100,1.269,0.00,0.00,9.89,4.381,5.264,2.977,4.876,3.127,0,0,SEARCHING,0.000,0.800,0.147,0.069
22:34:20.904,SEARCHING,1.046,0.117,1.297,0.00,0.00,10.42,4.331,5.643,2.939,4.862,3.223,0,0,SEARCHING,0.000,0.800,0.133,0.083
22:34:21.104,SEARCHING,1.140,0.135,1.323,0.00,0.00,11.01,4.258,5.887,2.946,4.945,3.261,0,0,SEARCHING,0.000,0.800,0.127,0.085
22:34:21.305,SEARCHING,1.234,0.153,1.348,0.00,0.00,11.58,4.172,6.249,2.937,5.045,3.332,0,0,SEARCHING,0.000,0.800,0.125,0.082
22:34:21.506,SEARCHING,1.328,0.173,1.373,0.00,0.00,12.13,4.075,6.539,2.927,5.019,3.394,0,0,SEARCHING,0.000,0.800,0.120,0.079
22:34:21.706,SEARCHING,1.422,0.194,1.397,0.00,0.00,12.66,3.945,6.714,2.933,4.963,3.424,0,0,SEARCHING,0.000,0.800,0.115,0.074
22:34:21.907,SEARCHING,1.516,0.215,1.419,0.00,0.00,13.15,3.867,7.073,2.913,4.923,3.494,0,0,SEARCHING,0.000,0.800,0.105,0.070
