timestamp,state,x,z,roll_deg,pitch_deg,yaw_deg,left,center,right,top,bottom,cmd_vx,cmd_vz,cmd_roll,cmd_yaw
2026-05-10 20:30:45.604968,SEARCHING,0.000,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-10 20:30:45.805706,SEARCHING,0.105,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-10 20:30:46.029986,SEARCHING,0.245,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-10 20:30:46.260173,INSPECTING,0.378,1.000,0.00,0.00,0.00,4.160,0.826,0.826,0.829,0.826,0.350,0.550,0.552,0.850
2026-05-10 20:30:46.495810,INSPECTING,0.444,1.000,0.00,0.00,9.25,3.945,0.789,0.789,0.792,0.792,0.350,0.550,0.552,0.850
2026-05-10 20:30:46.708778,SEARCHING,0.512,1.000,0.00,0.00,18.51,2.757,4.767,0.650,4.767,2.434,0.700,0.121,0.529,1.058
2026-05-10 20:30:46.915542,SEARCHING,0.637,1.000,0.00,0.00,29.92,2.757,4.767,0.650,4.767,2.434,0.700,0.121,0.529,1.058
2026-05-10 20:30:47.138247,SEARCHING,0.751,1.000,0.00,0.00,42.04,2.757,4.767,0.650,4.767,2.434,0.700,0.121,0.529,1.058
2026-05-10 20:30:47.345324,SEARCHING,0.846,1.000,0.00,0.00,54.17,2.757,4.767,0.650,4.767,2.434,0.700,0.121,0.529,1.058
2026-05-10 20:30:47.569867,SEARCHING,0.916,1.000,0.00,0.00,66.29,1.224,1.486,1.876,1.486,1.486,0.520,0.000,-0.128,-0.256
2026-05-10 20:30:47.786732,SEARCHING,0.958,1.000,0.00,0.00,68.63,1.127,1.308,1.567,1.308,1.308,0.458,0.000,-0.112,-0.224
2026-05-10 20:30:47.979537,SEARCHING,0.995,1.000,0.00,0.00,65.89,1.069,1.257,1.525,1.264,1.264,0.440,0.000,-0.126,-0.252
2026-05-10 20:30:48.191457,SEARCHING,1.032,1.000,0.00,0.00,62.97,0.991,1.192,1.476,1.186,1.186,0.417,0.000,-0.149,-0.299
2026-05-10 20:30:48.413505,SEARCHING,1.073,1.000,0.00,0.00,59.68,0.930,1.133,1.457,1.133,1.127,0.396,0.003,-0.175,-0.350
2026-05-10 20:30:48.626204,SEARCHING,1.115,1.000,0.00,0.00,55.81,0.883,1.105,1.467,1.100,1.100,0.387,0.000,-0.203,-0.405
2026-05-10 20:30:48.830412,SEARCHING,1.161,1.000,0.00,0.00,51.24,0.857,1.090,1.557,1.095,1.095,0.381,0.000,-0.236,-0.472
2026-05-10 20:30:49.043945,SEARCHING,1.211,1.000,0.00,0.00,46.04,0.832,1.105,1.720,1.105,1.105,0.387,0.000,-0.279,-0.559
