timestamp,state,x,y,z,roll_deg,pitch_deg,yaw_deg,dist_left,dist_center,dist_right,dist_top,dist_bottom,dtof_alert,collision_event,best_dir,max_space,cmd_vx,cmd_vz,cmd_yaw
19:34:12.412,SEARCHING,0.032,0.000,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0,0,SEARCHING,10.000,0.800,0.030,0.000
19:34:12.624,SEARCHING,0.192,0.000,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0,0,SEARCHING,10.000,0.800,0.058,0.000
19:34:12.849,INSPECTING,0.352,0.000,1.000,0.00,0.00,0.00,0.883,0.755,0.817,2.972,0.753,0,0,SEARCHING,0.753,0.000,0.000,0.000
19:34:13.118,INSPECTING,0.438,0.000,1.000,0.00,0.00,0.00,0.765,0.641,0.687,2.896,0.646,0,0,TOP,2.896,0.150,1.000,0.000
19:34:13.250,INSPECTING,0.453,0.000,1.000,0.00,0.00,0.00,0.758,0.637,0.677,2.896,0.636,0,0,TOP,2.896,0.150,1.000,0.000
19:34:13.532,INSPECTING,0.490,0.000,1.000,0.00,0.00,0.00,0.722,0.609,0.634,2.896,0.605,0,0,TOP,2.896,0.150,1.000,0.000
19:34:13.669,INSPECTING,0.505,0.000,1.000,0.00,0.00,0.00,0.698,0.588,0.617,2.860,0.587,0,0,TOP,2.860,0.150,1.000,0.000
19:34:13.970,INSPECTING,0.543,0.000,1.000,0.00,0.00,0.00,0.645,0.546,0.557,2.825,0.541,0,0,TOP,2.825,0.150,1.000,0.000
19:34:14.243,INSPECTING,0.579,0.000,1.000,0.00,0.00,0.00,0.585,0.503,0.508,2.860,0.502,0,0,TOP,2.860,0.150,1.000,0.000
19:34:14.377,INSPECTING,0.586,0.000,1.000,0.00,0.00,0.00,0.582,0.489,0.490,2.825,0.489,0,0,TOP,2.825,0.150,1.000,0.000
19:34:14.652,INSPECTING,0.624,0.000,1.000,0.00,0.00,0.00,0.547,0.450,0.448,2.790,0.450,0,0,TOP,2.790,0.150,1.000,0.000
19:34:14.819,SEARCHING,0.639,0.000,1.000,0.00,0.00,0.00,0.526,0.433,0.429,2.790,0.430,0,0,TOP,2.790,0.150,1.000,0.000
19:34:14.969,INSPECTING,0.654,0.000,1.000,0.00,0.00,0.00,0.497,0.408,0.406,0.406,0.405,0,0,TOP,0.406,0.150,1.000,0.000
19:34:15.267,INSPECTING,0.691,0.000,1.000,0.00,0.00,0.00,0.439,0.360,0.355,0.358,0.359,0,0,TOP,0.358,0.150,1.000,0.000
19:34:15.551,TURNING,0.727,0.000,1.000,0.00,0.00,0.00,0.406,0.334,0.324,0.335,0.332,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:15.686,TURNING,0.742,0.000,1.000,0.00,0.00,0.00,0.377,0.311,0.299,0.310,0.309,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:15.971,TURNING,0.787,0.000,1.000,0.00,0.00,0.00,0.334,0.278,0.270,0.279,0.277,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:16.281,TURNING,0.798,0.000,1.000,0.00,0.00,-10.54,0.267,0.265,3.269,0.265,0.265,1,0,TURNING,0.000,0.000,0.000,-0.800
19:34:16.500,TURNING,0.798,0.000,1.000,0.00,0.00,-22.00,0.250,0.384,2.724,4.237,0.416,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:16.766,TURNING,0.798,0.000,1.000,0.00,0.00,-33.46,4.670,3.269,2.061,3.223,2.434,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:17.028,TURNING,0.798,0.000,1.000,0.00,0.00,-47.21,3.520,2.409,1.845,2.409,2.409,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:17.159,TURNING,0.798,0.000,1.000,0.00,0.00,-51.80,3.269,2.179,1.760,2.179,2.179,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:17.454,TURNING,0.798,0.000,1.000,0.00,0.00,-63.25,2.409,1.990,1.634,1.990,1.990,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:17.624,TURNING,0.798,0.000,1.000,0.00,0.00,-70.13,2.099,1.860,1.600,1.876,1.860,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:17.756,TURNING,0.798,0.000,1.000,0.00,0.00,-79.30,1.990,1.774,1.611,1.788,1.788,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:18.032,TURNING,0.798,0.000,1.000,0.00,0.00,-90.76,1.845,1.747,1.708,1.747,1.760,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:18.163,TURNING,0.798,0.000,1.000,0.00,0.00,-97.63,1.774,1.760,1.760,1.760,1.760,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:18.435,TURNING,0.798,0.000,1.000,0.00,0.00,-109.09,1.646,1.747,10.000,1.747,1.747,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:18.570,TURNING,0.798,0.000,1.000,0.00,0.00,-115.97,1.611,1.747,10.000,1.760,1.760,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:18.866,TURNING,0.798,0.000,1.000,0.00,0.00,-129.72,0.829,10.000,0.784,10.000,10.000,0,0,TURNING,0.000,0.000,0.000,-0.800
19:34:19.166,TURNING,0.798,0.000,1.000,0.00,0.00,-143.47,10.000,10.000,10.000,10.000,10.000,0,0,TURNING,0.000,0.000,0.000,-0.638
19:34:19.307,TURNING,0.798,0.000,1.000,0.00,0.00,-148.05,10.000,10.000,10.000,10.000,10.000,0,0,TURNING,0.000,0.000,0.000,-0.558
19:34:19.595,TURNING,0.798,0.000,1.000,0.00,0.00,-161.76,10.000,10.000,10.000,10.000,10.000,0,0,TURNING,0.000,0.000,0.000,-0.318
19:34:19.878,TURNING,0.798,0.000,1.000,0.00,0.00,-172.99,10.000,10.000,10.000,10.000,10.000,0,0,TURNING,0.000,0.000,0.000,-0.300
19:34:20.067,RETURNING,0.798,0.000,1.000,0.00,0.00,-178.49,10.000,10.000,10.000,10.000,10.000,0,0,RETURNING,0.000,0.500,0.000,0.000
19:34:20.213,RETURNING,0.798,0.000,1.000,-0.00,0.00,178.64,10.000,10.000,10.000,10.000,10.000,0,0,RETURNING,0.000,0.500,0.000,0.000
