timestamp,state,x,z,roll_deg,pitch_deg,yaw_deg,left,center,right,top,bottom,cmd_vx,cmd_vz,cmd_roll,cmd_yaw
2026-05-11 15:46:09.556601,SEARCHING,0.056,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-11 15:46:09.758856,SEARCHING,0.196,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-11 15:46:09.975767,SEARCHING,0.336,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-11 15:46:10.195682,SEARCHING,0.476,1.000,0.00,0.00,1.87,1.876,3.011,0.986,3.051,2.460,0.700,0.047,0.216,0.433
2026-05-11 15:46:10.420726,SEARCHING,0.616,1.000,0.00,0.00,6.81,1.876,3.011,0.986,3.051,2.460,0.700,0.047,0.216,0.433
2026-05-11 15:46:10.671836,SEARCHING,0.754,1.000,0.00,0.00,11.76,1.876,3.011,0.986,3.051,2.460,0.700,0.047,0.216,0.433
2026-05-11 15:46:10.867772,SEARCHING,0.890,1.000,0.00,0.00,16.72,1.421,1.907,4.576,1.907,1.907,0.667,0.000,-0.218,-0.437
2026-05-11 15:46:11.070026,SEARCHING,1.011,1.000,0.00,0.00,12.95,1.278,1.634,2.825,1.634,1.634,0.572,0.000,-0.193,-0.385
2026-05-11 15:46:11.279548,SEARCHING,1.124,1.000,0.00,0.00,8.53,1.278,1.634,2.825,1.634,1.634,0.572,0.000,-0.193,-0.385
2026-05-11 15:46:11.493106,SEARCHING,1.237,1.000,0.00,0.00,4.12,1.278,1.634,2.825,1.634,1.634,0.572,0.000,-0.193,-0.385
2026-05-11 15:46:11.701631,SEARCHING,1.352,1.000,0.00,0.00,-0.30,1.278,1.634,2.825,1.634,1.634,0.572,0.000,-0.193,-0.385
2026-05-11 15:46:11.915543,SEARCHING,1.466,1.000,0.00,0.00,-4.72,1.278,1.634,2.825,1.634,1.634,0.572,0.000,-0.193,-0.385
2026-05-11 15:46:12.140571,SEARCHING,1.580,1.000,0.00,0.00,-9.14,1.278,1.634,2.825,1.634,1.634,0.572,0.000,-0.193,-0.385
2026-05-11 15:46:12.349882,SEARCHING,1.692,1.000,0.00,0.00,-13.55,1.457,4.317,4.487,4.487,2.487,0.700,0.108,-0.208,-0.417
2026-05-11 15:46:12.556874,SEARCHING,1.824,1.000,0.00,0.00,-18.29,1.457,4.317,4.487,4.487,2.487,0.700,0.108,-0.208,-0.417
2026-05-11 15:46:12.776185,SEARCHING,1.955,1.000,0.00,0.00,-23.07,1.457,4.317,4.487,4.487,2.487,0.700,0.108,-0.208,-0.417
2026-05-11 15:46:12.976286,SEARCHING,2.082,1.000,0.00,0.00,-27.85,1.457,4.317,4.487,4.487,2.487,0.700,0.108,-0.208,-0.417
2026-05-11 15:46:13.183792,SEARCHING,2.203,1.000,0.00,0.00,-32.63,1.457,4.317,4.487,4.487,2.487,0.700,0.108,-0.208,-0.417
2026-05-11 15:46:13.388291,SEARCHING,2.318,1.000,0.00,0.00,-37.41,1.457,4.317,4.487,4.487,2.487,0.700,0.108,-0.208,-0.417
2026-05-11 15:46:13.603147,SEARCHING,2.426,1.000,0.00,0.00,-42.18,6.184,3.223,2.311,3.269,2.434,0.700,0.063,0.122,0.244
2026-05-11 15:46:13.822334,SEARCHING,2.531,1.000,0.00,0.00,-40.15,4.670,3.011,2.099,3.011,2.434,0.700,0.047,0.118,0.236
2026-05-11 15:46:14.054175,SEARCHING,2.640,1.000,0.00,0.00,-37.40,5.200,2.934,2.080,2.934,2.460,0.700,0.039,0.130,0.260
2026-05-11 15:46:14.267860,SEARCHING,2.753,1.000,0.00,0.00,-34.44,5.200,2.934,2.080,2.934,2.460,0.700,0.039,0.130,0.260
2026-05-11 15:46:14.470523,SEARCHING,2.870,1.000,0.00,0.00,-31.46,6.184,3.011,2.080,3.011,2.359,0.700,0.055,0.144,0.287
2026-05-11 15:46:14.679685,SEARCHING,2.991,1.000,0.00,0.00,-28.21,6.184,3.011,2.080,3.011,2.359,0.700,0.055,0.144,0.287
2026-05-11 15:46:14.874176,SEARCHING,3.116,1.000,0.00,0.00,-24.92,5.085,3.365,2.222,3.415,2.460,0.700,0.068,0.114,0.228
2026-05-11 15:46:15.108552,SEARCHING,3.244,1.000,0.00,0.00,-22.23,5.085,3.365,2.222,3.415,2.460,0.700,0.068,0.114,0.228
2026-05-11 15:46:15.305029,SEARCHING,3.375,1.000,0.00,0.00,-19.62,5.085,3.365,2.222,3.415,2.460,0.700,0.068,0.114,0.228
2026-05-11 15:46:15.521199,SEARCHING,3.508,1.000,0.00,0.00,-17.01,5.085,3.365,2.222,3.415,2.460,0.700,0.068,0.114,0.228
2026-05-11 15:46:15.721028,SEARCHING,3.643,1.000,0.00,0.00,-14.39,3.467,6.538,2.434,3.945,2.359,0.700,0.102,0.055,0.110
2026-05-11 15:46:15.940385,SEARCHING,3.779,1.000,0.00,0.00,-12.99,3.467,6.538,2.434,3.945,2.359,0.700,0.102,0.055,0.110
2026-05-11 15:46:16.146293,SEARCHING,3.915,1.000,0.00,0.00,-11.73,3.467,6.538,2.434,3.945,2.359,0.700,0.102,0.055,0.110
2026-05-11 15:46:16.360347,SEARCHING,4.053,1.000,0.00,0.00,-10.47,3.467,6.538,2.434,3.945,2.359,0.700,0.102,0.055,0.110
2026-05-11 15:46:16.574211,SEARCHING,4.191,1.000,0.00,0.00,-9.21,2.757,4.974,2.860,3.575,2.434,0.700,0.079,-0.006,-0.012
2026-05-11 15:46:16.791484,SEARCHING,4.329,1.000,0.00,0.00,-9.20,2.757,4.974,2.860,3.575,2.434,0.700,0.079,-0.006,-0.012
2026-05-11 15:46:17.007538,SEARCHING,4.467,1.000,0.00,0.00,-9.43,2.724,4.767,3.011,3.467,2.460,0.700,0.071,-0.016,-0.031
2026-05-11 15:46:17.240527,SEARCHING,4.605,1.000,0.00,0.00,-9.77,2.724,4.670,2.972,3.178,2.514,0.700,0.050,-0.014,-0.028
2026-05-11 15:46:17.439637,SEARCHING,4.743,1.000,0.00,0.00,-10.09,2.724,4.670,2.972,3.178,2.514,0.700,0.050,-0.014,-0.028
2026-05-11 15:46:17.642091,SEARCHING,4.881,1.000,0.00,0.00,-10.40,2.757,4.576,2.972,2.860,2.434,0.700,0.037,-0.012,-0.024
2026-05-11 15:46:17.849260,SEARCHING,5.018,1.000,0.00,0.00,-10.68,2.757,4.576,2.972,2.860,2.434,0.700,0.037,-0.012,-0.024
2026-05-11 15:46:18.050929,SEARCHING,5.156,1.000,0.00,0.00,-10.95,2.724,4.487,2.934,2.757,2.460,0.700,0.026,-0.012,-0.024
2026-05-11 15:46:18.284141,SEARCHING,5.293,1.000,0.00,0.00,-11.15,2.757,4.400,2.825,2.724,2.460,0.700,0.024,-0.004,-0.008
2026-05-11 15:46:18.480482,SEARCHING,5.431,1.000,0.00,0.00,-11.24,2.757,4.400,2.825,2.724,2.460,0.700,0.024,-0.004,-0.008
2026-05-11 15:46:18.708030,SEARCHING,5.568,1.000,0.00,0.00,-11.33,2.757,4.400,2.825,2.724,2.460,0.700,0.024,-0.004,-0.008
2026-05-11 15:46:18.924988,SEARCHING,5.705,1.000,0.00,0.00,-11.42,2.757,4.400,2.825,2.724,2.460,0.700,0.024,-0.004,-0.008
2026-05-11 15:46:19.133391,SEARCHING,5.842,1.000,0.00,0.00,-11.51,2.757,4.400,2.825,2.724,2.460,0.700,0.024,-0.004,-0.008
2026-05-11 15:46:19.318092,SEARCHING,5.979,1.000,0.00,0.00,-11.60,2.757,4.400,2.825,2.724,2.460,0.700,0.024,-0.004,-0.008
