timestamp,state,x,y,z,roll_deg,pitch_deg,yaw_deg,dist_left,dist_center,dist_right,dist_top,dist_bottom,dtof_alert,collision_event,best_dir,max_space,cmd_vx,cmd_vz,cmd_yaw
23:09:57.816,SEARCHING,0.000,0.000,1.000,0.00,0.00,0.00,8.025,8.806,7.763,8.760,7.545,0,0,SEARCHING,0.000,0.240,0.059,-0.009
23:09:57.947,SEARCHING,0.049,-0.000,1.036,0.00,0.00,-0.19,3.495,5.959,2.600,5.907,3.007,0,0,SEARCHING,0.000,0.666,0.464,-0.046
23:09:58.147,SEARCHING,0.165,-0.001,1.134,0.00,0.00,-0.66,3.430,5.949,2.483,5.830,2.996,0,0,SEARCHING,0.000,0.768,0.528,-0.055
23:09:58.349,SEARCHING,0.291,-0.003,1.234,0.00,0.00,-1.18,3.351,6.013,2.386,5.756,3.645,0,0,SEARCHING,0.000,0.792,0.412,-0.056
23:09:58.549,SEARCHING,0.418,-0.006,1.313,0.00,0.00,-1.69,3.282,6.021,2.315,5.488,4.072,0,0,SEARCHING,0.000,0.798,0.337,-0.054
23:09:58.749,SEARCHING,0.546,-0.010,1.371,0.00,0.00,-2.18,3.288,6.045,2.201,5.330,4.428,0,0,SEARCHING,0.000,0.800,0.196,-0.055
23:09:58.948,SEARCHING,0.674,-0.016,1.411,0.00,0.00,-2.69,3.284,6.024,2.188,5.222,3.860,0,0,SEARCHING,0.000,0.800,0.225,-0.055
23:09:59.149,SEARCHING,0.801,-0.022,1.452,0.00,0.00,-3.18,3.307,6.022,2.596,5.085,4.235,0,0,SEARCHING,0.000,0.800,0.160,-0.051
23:09:59.350,SEARCHING,0.929,-0.030,1.483,0.00,0.00,-3.60,3.267,5.989,2.840,5.028,4.055,0,0,SEARCHING,0.000,0.800,0.157,-0.038
23:09:59.551,SEARCHING,1.057,-0.038,1.515,0.00,0.00,-3.90,3.288,5.926,2.841,4.925,4.334,0,0,SEARCHING,0.000,0.800,0.149,-0.031
23:09:59.751,SEARCHING,1.185,-0.047,1.544,0.00,0.00,-4.18,3.270,5.909,2.886,4.855,4.321,0,0,SEARCHING,0.000,0.800,0.127,-0.028
23:09:59.952,SEARCHING,1.312,-0.056,1.568,0.00,0.00,-4.42,3.271,5.882,2.926,4.783,4.423,0,0,SEARCHING,0.000,0.800,0.100,-0.025
