timestamp,state,x,y,z,roll_deg,pitch_deg,yaw_deg,dist_left,dist_center,dist_right,dist_top,dist_bottom,dtof_alert,collision_event,best_dir,max_space,cmd_vx,cmd_vz,cmd_yaw
20:32:32.027,SEARCHING,0.000,0.000,0.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0,0,SEARCHING,0.000,0.800,0.000,0.000
20:32:32.229,SEARCHING,0.128,0.000,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0,0,SEARCHING,0.000,0.800,0.000,0.000
20:32:32.430,SEARCHING,0.256,-0.001,1.023,0.00,0.00,-1.77,1.300,4.237,4.487,4.237,2.514,0,0,SEARCHING,0.000,0.800,0.194,-0.382
20:32:32.632,SEARCHING,0.384,-0.008,1.062,0.00,0.00,-3.97,2.571,4.576,3.632,4.670,2.571,0,0,SEARCHING,0.000,0.800,0.210,-0.080
20:32:32.833,SEARCHING,0.511,-0.017,1.102,0.00,0.00,-4.68,2.542,4.868,3.575,4.670,2.724,0,0,SEARCHING,0.000,0.800,0.184,-0.080
20:32:33.034,SEARCHING,0.639,-0.028,1.141,0.00,0.00,-5.40,2.630,5.085,3.520,4.767,2.692,0,0,SEARCHING,0.000,0.800,0.194,-0.067
20:32:33.236,SEARCHING,0.766,-0.041,1.178,0.00,0.00,-6.00,2.630,5.448,3.467,4.868,2.934,0,0,SEARCHING,0.000,0.800,0.163,-0.064
20:32:33.437,SEARCHING,0.894,-0.055,1.209,0.00,0.00,-6.58,2.661,6.356,3.415,5.085,3.011,0,0,SEARCHING,0.000,0.800,0.163,-0.058
20:32:33.638,SEARCHING,1.021,-0.070,1.242,0.00,0.00,-7.12,2.600,6.184,3.365,5.321,3.051,0,0,SEARCHING,0.000,0.800,0.168,-0.061
20:32:33.835,SEARCHING,1.148,-0.086,1.274,0.00,0.00,-7.70,2.571,6.022,3.365,5.200,3.134,0,0,SEARCHING,0.000,0.800,0.152,-0.064
20:32:34.034,SEARCHING,1.274,-0.104,1.304,0.00,0.00,-8.30,2.514,5.720,3.269,5.085,3.223,0,0,SEARCHING,0.000,0.800,0.136,-0.064
20:32:34.234,SEARCHING,1.401,-0.123,1.330,0.00,0.00,-8.86,2.542,5.581,3.223,5.085,3.269,0,0,SEARCHING,0.000,0.800,0.131,-0.058
20:32:34.434,SEARCHING,1.527,-0.143,1.356,0.00,0.00,-9.38,2.571,5.448,3.178,4.974,3.316,0,0,SEARCHING,0.000,0.800,0.121,-0.052
20:32:34.634,SEARCHING,1.654,-0.165,1.380,0.00,0.00,-9.84,2.571,5.200,3.134,4.974,3.365,0,0,SEARCHING,0.000,0.800,0.115,-0.049
20:32:34.835,SEARCHING,1.780,-0.187,1.403,0.00,0.00,-10.28,2.542,5.085,3.134,4.974,3.520,0,0,SEARCHING,0.000,0.800,0.100,-0.052
20:32:35.035,SEARCHING,1.905,-0.210,1.422,0.00,0.00,-10.71,2.571,4.974,3.011,4.868,3.520,0,0,SEARCHING,0.000,0.800,0.094,-0.040
20:32:35.235,SEARCHING,2.031,-0.235,1.441,0.00,0.00,-11.08,2.542,4.868,3.011,4.767,3.575,0,0,SEARCHING,0.000,0.800,0.084,-0.043
20:32:35.437,SEARCHING,2.157,-0.259,1.456,0.00,0.00,-11.40,2.571,4.670,2.896,4.670,3.691,0,0,SEARCHING,0.000,0.800,0.068,-0.031
20:32:35.638,SEARCHING,2.282,-0.285,1.469,0.00,0.00,-11.68,2.600,4.576,2.860,4.576,3.691,0,0,SEARCHING,0.000,0.800,0.063,-0.024
20:32:35.837,SEARCHING,2.407,-0.311,1.481,0.00,0.00,-11.90,2.600,4.487,2.790,4.487,3.691,0,0,SEARCHING,0.000,0.800,0.058,-0.018
20:32:36.038,SEARCHING,2.533,-0.338,1.493,0.00,0.00,-12.05,2.514,4.400,2.661,4.317,3.467,0,0,SEARCHING,0.000,0.800,0.068,-0.015
20:32:36.239,SEARCHING,2.658,-0.365,1.504,0.00,0.00,-12.16,2.571,4.237,2.571,4.237,3.632,0,0,SEARCHING,0.000,0.800,0.047,0.000
20:32:36.439,SEARCHING,2.783,-0.391,1.512,0.00,0.00,-12.14,2.487,4.160,2.571,4.160,3.751,0,0,SEARCHING,0.000,0.800,0.031,-0.009
20:32:36.639,SEARCHING,2.908,-0.418,1.517,0.00,0.00,-12.14,5.867,4.014,2.514,4.086,3.814,0,0,SEARCHING,0.000,0.800,0.021,0.159
20:32:36.840,SEARCHING,3.033,-0.444,1.520,0.00,0.00,-10.66,2.384,4.086,2.542,4.014,3.814,0,0,SEARCHING,0.000,0.800,0.016,-0.018
20:32:37.041,SEARCHING,3.159,-0.468,1.524,0.00,0.00,-10.84,5.581,4.014,2.514,4.014,3.814,0,0,SEARCHING,0.000,0.800,0.016,0.153
20:32:37.242,SEARCHING,3.285,-0.491,1.527,0.00,0.00,-9.45,5.321,4.014,2.487,4.086,3.814,0,0,SEARCHING,0.000,0.800,0.021,0.150
20:32:37.442,SEARCHING,3.412,-0.510,1.531,0.00,0.00,-8.10,4.868,4.086,2.600,4.086,3.878,0,0,SEARCHING,0.000,0.800,0.016,0.125
20:32:37.642,SEARCHING,3.539,-0.527,1.535,0.00,0.00,-6.94,4.670,4.237,2.600,4.160,3.878,0,0,SEARCHING,0.000,0.800,0.021,0.119
20:32:37.842,SEARCHING,3.666,-0.542,1.539,0.00,0.00,-5.90,4.400,4.317,2.692,4.237,3.691,0,0,SEARCHING,0.000,0.800,0.042,0.101
20:32:38.043,SEARCHING,3.793,-0.554,1.547,0.00,0.00,-4.98,4.160,4.317,2.724,4.317,3.878,0,0,SEARCHING,0.000,0.800,0.031,0.089
20:32:38.245,SEARCHING,3.921,-0.564,1.556,0.00,0.00,-4.19,4.014,4.400,2.724,4.317,3.814,0,0,SEARCHING,0.000,0.800,0.037,0.083
20:32:38.445,SEARCHING,4.048,-0.573,1.562,0.00,0.00,-3.44,3.945,4.487,2.661,4.317,3.945,0,0,SEARCHING,0.000,0.800,0.026,0.086
20:32:38.644,SEARCHING,4.176,-0.580,1.569,0.00,0.00,-2.61,3.814,4.670,2.487,4.400,3.878,0,0,SEARCHING,0.000,0.800,0.037,0.098
20:32:38.846,SEARCHING,4.304,-0.585,1.575,0.00,0.00,-1.72,3.691,5.321,2.514,4.400,3.945,0,0,SEARCHING,0.000,0.800,0.031,0.089
20:32:39.050,SEARCHING,4.432,-0.588,1.582,0.00,0.00,-0.93,3.632,5.448,2.487,4.487,3.945,0,0,SEARCHING,0.000,0.800,0.037,0.089
20:32:39.251,SEARCHING,4.560,-0.589,1.589,0.00,0.00,-0.14,3.520,5.867,2.460,4.487,3.945,0,0,SEARCHING,0.000,0.800,0.037,0.086
20:32:39.452,SEARCHING,4.688,-0.589,1.597,0.00,0.00,0.60,3.467,6.022,2.487,4.487,3.814,0,0,SEARCHING,0.000,0.800,0.047,0.080
20:32:39.652,SEARCHING,4.816,-0.587,1.605,0.00,0.00,1.33,3.316,5.867,2.514,4.487,4.014,0,0,SEARCHING,0.000,0.800,0.031,0.067
20:32:39.852,SEARCHING,4.944,-0.583,1.611,0.00,0.00,1.98,3.365,5.720,2.571,4.487,4.014,0,0,SEARCHING,0.000,0.800,0.031,0.064
20:32:40.053,SEARCHING,5.072,-0.578,1.617,0.00,0.00,2.54,3.269,5.581,2.542,4.487,4.014,0,0,SEARCHING,0.000,0.800,0.031,0.061
20:32:40.254,SEARCHING,5.200,-0.572,1.623,0.00,0.00,3.10,3.178,5.321,2.542,4.487,3.945,0,0,SEARCHING,0.000,0.800,0.037,0.055
20:32:40.455,SEARCHING,5.328,-0.564,1.629,0.00,0.00,3.58,3.051,5.321,2.542,4.487,3.945,0,0,SEARCHING,0.000,0.800,0.037,0.046
20:32:40.655,SEARCHING,5.455,-0.556,1.635,0.00,0.00,4.02,3.011,5.085,2.514,4.487,4.086,0,0,SEARCHING,0.000,0.800,0.026,0.046
20:32:40.857,SEARCHING,5.583,-0.547,1.641,0.00,0.00,4.43,3.011,4.974,2.514,4.487,4.160,0,0,SEARCHING,0.000,0.800,0.021,0.046
20:32:41.058,SEARCHING,5.711,-0.536,1.645,0.00,0.00,4.81,2.972,4.868,2.542,4.400,4.160,0,0,SEARCHING,0.000,0.800,0.016,0.040
20:32:41.259,SEARCHING,5.838,-0.525,1.648,0.00,0.00,5.17,2.896,4.767,2.542,4.317,4.160,0,0,SEARCHING,0.000,0.800,0.010,0.034
20:32:41.458,SEARCHING,5.966,-0.513,1.651,0.00,0.00,5.48,2.896,4.670,2.630,4.400,4.160,0,0,SEARCHING,0.000,0.800,0.016,0.024
20:32:41.658,SEARCHING,6.093,-0.501,1.653,0.00,0.00,5.57,2.896,4.576,3.011,4.400,4.014,0,0,SEARCHING,0.000,0.800,0.026,-0.009
20:32:41.858,SEARCHING,6.220,-0.489,1.659,0.00,0.00,5.48,2.896,4.487,2.972,4.400,4.160,0,0,SEARCHING,0.000,0.800,0.016,-0.006
20:32:42.057,SEARCHING,6.348,-0.476,1.662,0.00,0.00,5.43,2.896,4.237,2.972,4.317,4.160,0,0,SEARCHING,0.000,0.800,0.010,-0.006
