timestamp,state,x,z,roll_deg,pitch_deg,yaw_deg,left,center,right,top,bottom,cmd_vx,cmd_vz,cmd_roll,cmd_yaw
2026-05-12 19:09:22.697838,SEARCHING,0.000,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-12 19:09:22.900901,SEARCHING,0.119,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-12 19:09:23.115407,SEARCHING,0.259,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-12 19:09:23.344671,SEARCHING,0.399,1.000,0.00,0.00,0.62,5.448,4.974,2.790,4.868,4.160,0.700,0.021,0.079,0.157
2026-05-12 19:09:23.528875,SEARCHING,0.539,1.000,0.00,0.00,2.36,4.767,5.085,2.825,4.974,4.317,0.700,0.018,0.065,0.130
2026-05-12 19:09:23.749664,SEARCHING,0.679,1.000,0.00,0.00,3.74,4.014,5.200,2.934,4.868,4.237,0.700,0.018,0.041,0.083
2026-05-12 19:09:23.952213,SEARCHING,0.818,1.000,0.00,0.00,4.69,3.814,5.321,2.934,4.868,4.317,0.700,0.016,0.035,0.071
2026-05-12 19:09:24.158355,SEARCHING,0.958,1.000,0.00,0.00,5.50,3.691,5.581,2.972,4.868,4.317,0.700,0.016,0.029,0.059
2026-05-12 19:09:24.361893,SEARCHING,1.097,1.000,0.00,0.00,6.19,3.632,5.581,3.011,4.767,4.317,0.700,0.013,0.026,0.051
2026-05-12 19:09:24.564495,SEARCHING,1.236,1.000,0.00,0.00,6.79,3.575,5.867,3.011,4.868,4.317,0.700,0.016,0.024,0.047
2026-05-12 19:09:24.768337,SEARCHING,1.375,1.000,0.00,0.00,7.32,3.467,5.720,3.051,4.868,4.317,0.700,0.016,0.018,0.035
2026-05-12 19:09:24.989405,SEARCHING,1.514,1.000,0.00,0.00,7.74,3.415,5.720,3.092,4.868,4.160,0.700,0.021,0.014,0.028
2026-05-12 19:09:25.187034,SEARCHING,1.653,1.000,0.00,0.00,8.08,3.415,5.720,3.051,4.767,4.086,0.700,0.021,0.016,0.031
2026-05-12 19:09:25.403371,SEARCHING,1.791,1.000,0.00,0.00,8.49,3.632,5.720,3.092,4.868,4.237,0.700,0.018,0.022,0.043
2026-05-12 19:09:25.636694,SEARCHING,1.930,1.000,0.00,0.00,8.97,3.751,5.720,3.178,4.868,5.720,0.700,-0.018,0.022,0.043
2026-05-12 19:09:25.842823,SEARCHING,2.068,1.000,0.00,0.00,9.46,3.814,5.720,3.134,4.868,5.581,0.700,-0.016,0.026,0.051
2026-05-12 19:09:26.045862,SEARCHING,2.206,1.000,0.00,0.00,10.00,3.751,5.720,3.178,4.868,5.581,0.700,-0.016,0.022,0.043
2026-05-12 19:09:26.252355,SEARCHING,2.344,1.000,0.00,0.00,10.51,3.691,5.720,3.092,4.868,4.400,0.700,0.013,0.024,0.047
2026-05-12 19:09:26.449317,SEARCHING,2.481,1.000,0.00,0.00,11.07,3.632,5.720,3.051,4.767,5.321,0.700,-0.013,0.024,0.047
2026-05-12 19:09:26.660085,SEARCHING,2.618,1.000,0.00,0.00,11.60,3.575,5.720,3.051,4.868,5.321,0.700,-0.010,0.022,0.043
2026-05-12 19:09:26.862587,SEARCHING,2.755,1.000,0.00,0.00,12.06,3.520,4.868,3.092,4.767,4.974,0.700,-0.005,0.018,0.035
2026-05-12 19:09:27.060645,SEARCHING,2.892,1.000,0.00,0.00,12.47,3.520,5.720,3.092,4.868,5.720,0.700,-0.018,0.018,0.035
2026-05-12 19:09:27.270754,SEARCHING,3.029,1.000,0.00,0.00,12.86,3.415,5.720,3.092,4.868,5.867,0.700,-0.021,0.014,0.028
2026-05-12 19:09:27.472617,SEARCHING,3.165,1.000,0.00,0.00,13.17,3.415,7.381,3.051,4.868,7.381,0.700,-0.042,0.016,0.031
2026-05-12 19:09:27.673510,SEARCHING,3.301,1.000,0.00,0.00,13.50,3.316,7.381,3.092,4.974,7.381,0.700,-0.039,0.010,0.020
2026-05-12 19:09:27.881986,SEARCHING,3.438,1.000,0.00,0.00,13.74,3.316,7.890,3.051,4.868,7.381,0.700,-0.042,0.012,0.024
2026-05-12 19:09:28.100510,SEARCHING,3.573,1.000,0.00,0.00,13.97,3.223,7.151,3.092,4.868,7.381,0.700,-0.042,0.006,0.012
2026-05-12 19:09:28.306429,SEARCHING,3.709,1.000,0.00,0.00,14.09,3.134,6.934,3.134,4.868,3.575,0.700,0.045,0.000,0.000
2026-05-12 19:09:28.510165,SEARCHING,3.845,1.000,0.00,0.00,14.11,3.134,7.151,3.223,4.868,4.086,0.700,0.024,-0.004,-0.008
2026-05-12 19:09:28.724470,SEARCHING,3.981,1.000,0.00,0.00,14.00,3.092,7.381,3.316,4.868,6.730,0.700,-0.034,-0.010,-0.020
2026-05-12 19:09:28.916579,SEARCHING,4.117,1.000,0.00,0.00,13.77,3.134,6.934,3.365,4.868,6.934,0.700,-0.037,-0.010,-0.020
2026-05-12 19:09:29.121580,SEARCHING,4.253,1.000,0.00,0.00,13.54,3.134,6.934,3.365,4.767,7.151,0.700,-0.042,-0.010,-0.020
2026-05-12 19:09:29.352721,SEARCHING,4.389,1.000,0.00,0.00,13.33,3.178,6.934,3.316,4.868,6.934,0.700,-0.037,-0.006,-0.012
2026-05-12 19:09:29.552234,SEARCHING,4.525,1.000,0.00,0.00,13.19,3.223,6.934,3.316,4.868,6.934,0.700,-0.037,-0.004,-0.008
